area,building,direction,elevator,floor,garden,heating,_id,layout,region,renovation,stairway,structure,totalPrice,type,unitPrice,usage,year
153.07,,南 北,,低楼层 (共4层),高陵,,101117684400,4室2厅1厨2卫,高陵,其他,一梯两户,未知结构,96.0,,6272.0,普通住宅,满五年
77.18,板楼,东 西,有,中楼层 (共27层),安装四处,集中供暖,101117684461,2室2厅1厨1卫,新城区,精装,两梯六户,钢混结构,110.0,,14253.0,普通住宅,
95.0,平房,南 北,有,中楼层 (共27层),高陵,自供暖,101117684476,2室1厅1厨1卫,高陵,简装,两梯七户,混合结构,90.0,,9474.0,普通住宅,
52.0,板塔结合,南,有,高楼层 (共32层),经开北,集中供暖,101117683494,2室1厅1厨1卫,未央,其他,两梯七户,钢混结构,139.0,,26731.0,普通住宅,
51.99,板塔结合,北,有,中楼层 (共32层),矿山路,集中供暖,101117683506,1室1厅1厨1卫,未央,简装,三梯八户,钢混结构,75.0,平层,14426.0,普通住宅,满两年
137.0,板楼,南 北,有,高楼层 (共10层),经开北,集中供暖,101117683564,3室2厅1厨2卫,未央,其他,两梯两户,钢混结构,360.0,,26278.0,普通住宅,
112.87,塔楼,南 北,有,低楼层 (共28层),城南,集中供暖,101117683597,3室2厅1厨1卫,雁塔,简装,四梯十户,框架结构,155.0,,13733.0,普通住宅,满五年
48.61,板塔结合,西,有,高楼层 (共27层),城西,集中供暖,101117683599,1室1厅1厨1卫,莲湖,其他,三梯十四户,钢混结构,95.0,,19544.0,普通住宅,
100.12,板楼,南,有,中楼层 (共33层),长安,集中供暖,101117683608,3室2厅1厨2卫,雁塔,精装,两梯四户,钢混结构,230.0,,22973.0,普通住宅,
102.0,塔楼,南,有,低楼层 (共18层),长安,自供暖,101117683626,2室2厅1厨1卫,长安,其他,两梯八户,钢混结构,120.0,,11765.0,普通住宅,
89.0,板塔结合,东南,有,低楼层 (共32层),经开南,自供暖,101117683662,2室2厅1厨1卫,未央,精装,四梯十二户,钢混结构,110.0,,12360.0,普通住宅,
50.0,塔楼,东,有,中楼层 (共32层),雁南,集中供暖,101117683683,1室1厅1厨1卫,雁塔,其他,三梯十一户,钢混结构,92.0,,18400.0,普通住宅,
98.57,板塔结合,南 北,有,低楼层 (共27层),南稍门,集中供暖,101117683723,3室2厅1厨1卫,碑林,精装,两梯四户,钢混结构,170.0,,17247.0,普通住宅,满五年
50.73,板楼,南 北,无,中楼层 (共7层),城东,集中供暖,101117683749,1室1厅1厨1卫,新城区,其他,一梯两户,砖混结构,50.0,平层,9857.0,普通住宅,
64.0,板塔结合,南 北,,中楼层 (共7层),曲江,集中供暖,101117683751,2室1厅1厨1卫,雁塔,其他,一梯一户,混合结构,70.0,,10938.0,普通住宅,
53.3,板楼,南,有,高楼层 (共22层),唐延路,集中供暖,101117683777,2室1厅1厨1卫,雁塔,简装,三梯十二户,钢混结构,115.0,平层,21576.0,普通住宅,满两年
72.0,板塔结合,南,有,中楼层 (共27层),长安,集中供暖,101117683784,2室1厅1厨1卫,长安,其他,两梯四户,框架结构,125.0,,17362.0,普通住宅,
122.0,板楼,南 北,,高楼层 (共32层),长安,集中供暖,101117683800,3室2厅1厨2卫,长安,精装,一梯四户,钢混结构,225.0,平层,18443.0,普通住宅,
64.82,板楼,南 北,,高楼层 (共7层),城北,集中供暖,101117683838,2室1厅1厨1卫,未央,简装,一梯三户,钢混结构,67.0,,10337.0,普通住宅,
145.74,塔楼,西南,有,中楼层 (共32层),城东,集中供暖,101117682878,3室2厅1厨2卫,碑林,其他,三梯十一户,钢混结构,280.0,平层,19213.0,普通住宅,满两年
94.0,板楼,南 北,,中楼层 (共5层),高陵,自供暖,101117682912,2室1厅1厨1卫,高陵,其他,一梯两户,砖混结构,55.0,,5852.0,普通住宅,
77.9,板塔结合,东南,有,中楼层 (共26层),国际港务区,集中供暖,101117682943,2室2厅1厨1卫,灞桥,其他,两梯四户,钢混结构,138.0,,17716.0,普通住宅,
39.42,塔楼,南,有,高楼层 (共30层),西咸,集中供暖,101117682955,1室1厅1厨1卫,长安,其他,四梯二十四户,框架结构,45.0,,11416.0,商住两用,
